ID,CODAREA,DISTRITO,RECNUM,MOR_DOM,RENDA,CB,ENERGIA,XCENTR,YCENTR
401,3550308999428,355030875,428,3.89997,759.88,10.27815,203.54484,353053,7385640
402,3550308999429,355030830,429,3.88384,740.94,10.17832,209.30937,330312,7373390
403,3550308999430,355030830,430,3.87888,787.64,11.27759,224.21690,329233,7372370
404,3550308999431,355030830,431,3.78483,957.80,11.09892,219.55373,328381,7371320
405,3550308999432,355030830,432,3.95182,666.36,9.79646,220.09235,329350,7366650
406,3550308999433,355030830,433,3.80463,802.32,10.62464,215.88938,327825,7369690
407,3550308999434,355030830,434,3.79074,1077.29,11.32403,218.11600,328165,7373460
408,3550308999435,355030830,435,3.78676,941.69,11.21132,215.27469,327132,7372210
409,3550308999436,355030830,436,3.93246,780.98,10.87065,197.77291,326473,7371390
410,3550308999437,355030830,437,3.97042,755.15,10.35981,206.20499,326424,7370100
411,3550308999441,355030843,441,3.83828,786.87,10.35454,206.75852,320269,7374820
412,3550308999442,355030843,442,3.87872,626.04,9.11281,189.28808,318665,7373780
413,3550308999443,355030843,443,3.78200,765.40,10.32054,187.03779,317401,7374610
414,3550308999444,355030843,444,3.74488,716.36,9.90463,207.25458,319361,7378000
415,3550308999445,355030843,445,3.81655,904.26,10.45537,208.50509,318487,7376190
416,3550308999447,355030843,447,3.75471,791.24,10.27711,192.01357,317518,7378200
417,3550308999452,355030819,452,3.59901,905.36,10.94958,153.88423,318876,7382620
418,3550308999454,355030819,454,3.84822,1080.89,11.16358,196.66596,317103,7380930
419,3550308999455,355030852,455,4.01154,560.66,9.40097,222.05440,324404,7350230
420,3550308999456,355030855,456,3.93163,894.27,10.20747,212.56547,324558,7363270
421,3550308999338,355030858,338,3.84674,797.58,10.34913,189.98360,332972,7378240
422,3550308999341,355030858,341,3.89445,1044.50,11.50299,212.99538,331347,7378750
423,3550308999174,355030895,174,3.70367,1251.44,11.84471,236.65043,320618,7401990
424,3550308999173,355030895,173,3.42016,2727.25,14.97260,313.27306,322450,7399900
425,3550308999138,355030868,138,3.76320,855.87,10.43616,76.05906,337506,7387810
426,3550308999134,355030834,134,3.37990,991.64,10.73357,205.38497,337593,7388910
427,3550308999136,355030868,136,3.43110,1527.67,12.18964,194.75569,337030,7388080
428,3550308999453,355030819,453,3.83354,901.83,10.50915,197.11365,317684,7382090
429,3550308999451,355030819,451,3.63687,854.57,10.48995,201.70680,317823,7382980
430,3550308999450,355030819,450,3.81353,893.54,10.97597,192.99500,317202,7379490
431,3550308999448,355030819,448,3.70307,1016.13,11.36688,198.84699,318715,7381590
432,3550308999449,355030819,449,3.71496,969.06,11.15892,183.97918,318331,7380230
433,3550308999199,355030813,199,3.59885,1905.34,13.01145,244.22357,331412,7404230
434,3550308999196,355030813,196,3.67416,1839.37,12.86444,266.53018,330196,7402630
435,3550308999446,355030843,446,3.81367,869.86,10.36440,171.08199,318766,7379320
436,3550308999368,355030817,368,3.62555,1994.50,13.18960,256.08337,320322,7383620
437,3550308999300,355030811,300,3.91999,750.96,10.20587,217.98625,327339,7405290
438,3550308999299,355030811,299,3.80321,838.29,10.47818,201.36283,327919,7407300
439,3550308999193,355030811,193,3.80861,1117.33,11.06826,210.92063,326947,7404000
440,3550308999220,355030818,220,3.71953,1332.78,12.04804,238.97261,345882,7400240
441,3550308999221,355030818,221,3.57486,1507.76,12.68821,226.31049,346787,7400620
442,3550308999305,355030887,305,3.85014,970.40,10.90789,202.70382,350569,7401230
443,3550308999271,355030822,271,3.43554,3683.64,16.68367,323.45649,329589,7382870
444,3550308999273,355030822,273,3.58247,1964.52,14.12594,266.71747,330667,7381390
445,3550308999262,355030838,262,3.58155,1601.77,12.34388,248.87507,331524,7382380
446,3550308999362,355030846,362,3.38262,1632.99,12.64312,244.06326,322515,7383720
447,3550308999354,355030846,354,3.55913,1160.08,11.95539,213.69546,321341,7381110
448,3550308999355,355030846,355,3.54639,1153.57,11.59068,214.17968,322736,7381730
449,3550308999366,355030819,366,3.70528,996.45,11.30526,204.73657,319603,7380760
450,3550308999353,355030846,353,3.66160,898.88,10.90785,188.42279,321141,7381710
451,3550308999365,355030819,365,3.59523,1490.19,12.49399,234.21364,320061,7381730
452,3550308999358,355030843,358,3.59193,970.90,10.84510,208.02560,320330,7380230
453,3550308999438,355030823,438,3.66145,1623.21,12.74224,215.93268,326872,7374670
454,3550308999440,355030823,440,3.71478,1098.40,11.86628,210.19005,325028,7372270
455,3550308999349,355030823,349,3.73002,2039.65,13.71641,287.62702,325453,7374500
456,3550308999439,355030823,439,3.80360,1128.30,11.39768,204.99874,326073,7374020
